Date,Time,Open,High,Low,Close,Volume
2016.01.18,12:00,117.029,117.435,117.028,117.407,41152
2016.01.18,16:00,117.404,117.42,117.25,117.388,25942
2016.01.18,20:00,117.389,117.405,117.326,117.344,8614
2016.01.19,0:00,117.344,117.439,117.267,117.395,11801
2016.01.19,4:00,117.396,117.701,117.229,117.495,31340
2016.01.19,8:00,117.496,117.995,117.479,117.9,25098
2016.01.19,12:00,117.9,118.109,117.749,118.071,34442
2016.01.19,16:00,118.072,118.081,117.557,117.792,40351
2016.01.19,20:00,117.793,117.793,117.303,117.424,32347
2016.01.20,0:00,117.421,117.681,117.411,117.561,17112
2016.01.20,4:00,117.557,117.564,116.926,116.999,32243
2016.01.20,8:00,117,117.049,116.415,116.777,30259
2016.01.20,12:00,116.777,116.958,115.97,116.503,47091
2016.01.20,16:00,116.505,116.881,116.199,116.2,48358
2016.01.20,20:00,116.2,116.861,116.2,116.764,43388
2016.01.21,0:00,116.762,117.201,116.751,117.196,20484
2016.01.21,4:00,117.198,117.474,117.088,117.132,34086
2016.01.21,8:00,117.132,117.242,116.467,116.737,39007
2016.01.21,12:00,116.735,117.168,116.727,116.821,45786
2016.01.21,16:00,116.82,117.442,116.707,117.276,55808
2016.01.21,20:00,117.276,117.776,117.232,117.482,44023
2016.01.22,0:00,117.481,117.933,117.406,117.926,20667
2016.01.22,4:00,117.926,117.943,117.534,117.787,35028
2016.01.22,8:00,117.787,118.182,117.771,118.071,31557
2016.01.22,12:00,118.072,118.311,117.979,118.189,34713
2016.01.22,16:00,118.188,118.642,117.859,118.508,40137
2016.01.22,20:00,118.509,118.803,118.342,118.762,27108
2016.01.23,0:00,118.762,118.876,118.728,118.769,5920
2016.01.25,0:00,118.637,118.776,118.556,118.559,4744
2016.01.25,4:00,118.557,118.852,118.426,118.694,29596
2016.01.25,8:00,118.694,118.844,118.459,118.566,23943
2016.01.25,12:00,118.566,118.566,118.167,118.416,37016
2016.01.25,16:00,118.417,118.651,118.327,118.591,44055
2016.01.25,20:00,118.591,118.631,118.447,118.488,25989
2016.01.26,0:00,118.489,118.524,118.221,118.232,12943
2016.01.26,4:00,118.231,118.287,118.012,118.159,25377
2016.01.26,8:00,118.16,118.184,117.651,117.769,25781
2016.01.26,12:00,117.77,118.483,117.762,118.387,35927
2016.01.26,16:00,118.388,118.609,118.273,118.423,43147
2016.01.26,20:00,118.421,118.618,118.405,118.457,25091
2016.01.27,0:00,118.458,118.488,118.343,118.385,12647
2016.01.27,4:00,118.383,118.43,118.039,118.101,25965
2016.01.27,8:00,118.101,118.47,118.071,118.247,27441
2016.01.27,12:00,118.246,118.322,118.07,118.296,36390
2016.01.27,16:00,118.298,118.762,118.254,118.747,41453
2016.01.27,20:00,118.745,119.067,118.583,118.668,38475
2016.01.28,0:00,118.672,118.708,118.461,118.476,21368
2016.01.28,4:00,118.476,118.929,118.411,118.714,28391
2016.01.28,8:00,118.715,118.831,118.542,118.781,25483
2016.01.28,12:00,118.781,118.936,118.615,118.797,39888
2016.01.28,16:00,118.796,118.987,118.651,118.669,45448
2016.01.28,20:00,118.671,118.83,118.559,118.766,29230
2016.01.29,0:00,118.766,118.968,118.742,118.926,15138
2016.01.29,4:00,118.926,121.43,118.395,120.307,36685
2016.01.29,8:00,120.308,120.923,119.125,120.621,53268
2016.01.29,12:00,120.624,120.989,120.624,120.975,41298
2016.01.29,16:00,120.975,121.686,120.864,121.07,47404
2016.01.29,20:00,121.07,121.243,120.912,121.103,31302
2016.01.30,0:00,121.102,121.121,120.999,121.119,6987
2016.02.01,0:00,121.314,121.482,121.158,121.347,8780
2016.02.01,4:00,121.345,121.435,121.1,121.24,29576
2016.02.01,8:00,121.24,121.366,121.158,121.214,20778
2016.02.01,12:00,121.213,121.406,121.051,121.373,29436
2016.02.01,16:00,121.371,121.384,120.675,121.034,38003
2016.02.01,20:00,121.035,121.164,120.935,121.128,25623
2016.02.02,0:00,121.124,121.147,120.822,120.852,13696
2016.02.02,4:00,120.852,121.009,120.606,120.694,23437
2016.02.02,8:00,120.694,120.751,120.354,120.626,28358
2016.02.02,12:00,120.626,120.858,120.578,120.785,31186
2016.02.02,16:00,120.786,120.848,120.154,120.248,39105
2016.02.02,20:00,120.246,120.448,120.02,120.094,31652
2016.02.03,0:00,120.095,120.117,119.677,119.846,21003
2016.02.03,4:00,119.846,119.913,119.415,119.675,33686
2016.02.03,8:00,119.673,119.964,119.51,119.958,25387
2016.02.03,12:00,119.957,120.04,119.225,119.436,40843
2016.02.03,16:00,119.436,119.622,117.51,117.987,53670
2016.02.03,20:00,117.984,118.082,117.049,117.666,52969
2016.02.04,0:00,117.665,118.234,117.624,118.163,23550
2016.02.04,4:00,118.163,118.209,117.642,117.958,37354
2016.02.04,8:00,117.956,118.164,117.826,117.949,27674
2016.02.04,12:00,117.947,117.992,117.334,117.665,44040
2016.02.04,16:00,117.666,117.691,116.723,117.138,57890
2016.02.04,20:00,117.136,117.176,116.524,116.722,45863
2016.02.05,0:00,116.726,116.901,116.688,116.85,19223
2016.02.05,4:00,116.85,116.98,116.637,116.672,26975
2016.02.05,8:00,116.672,116.961,116.554,116.813,25363
2016.02.05,12:00,116.815,116.978,116.689,116.83,34818
